variant_id,complexity,n_runs,mean_resp_time_norm,p50_resp_time_norm,p90_resp_time_norm,coverage_loss_mean_norm,coverage_loss_p90_norm,fairness_gap_norm,als_mismatch_rate_norm,unit_area_mismatch_rate_norm,shifts_norm,total_calls_norm,w_avg_p50_resp_min_norm,w_avg_p90_resp_min_norm,w_avg_avg_resp_min_norm,units_norm
ff_severity_als_guardrail_urban_fairness_zone,7,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_als_guardrail_urban_fairness_zone_2,7,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_guardrail_urban_zone,6,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_guardrail_zone,5,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_urban,4,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_urban_fairness,5,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_als_urban_fairness_2,5,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_urban_fairness_fairness,6,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
ff_severity_als_urban_fairness_fairness_zone,7,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
ff_severity_als_urban_fairness_zone,6,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_als_urban_fairness_zone_2,6,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_urban_zone,5,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_als_zone,4,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_coverage,3,1,0.8091259959422281,0.9296842908544954,0.8625849937435212,1.0,1.0,0.42443918024096033,,,0.5,0.5,0.09977207945043241,0.20623460283391792,0.18844669523297808,0.5
ff_severity_coverage_2,3,1,0.9183936047466553,0.9254502445661413,0.9323932714528358,1.0,1.0,0.4932664489181492,,,0.5,0.5,0.09344501208839255,0.07152193744941211,0.08070177845969255,0.5
ff_severity_coverage_coverage,4,1,0.8595379836277637,0.9023771565842007,0.8939181165413694,1.0,1.0,0.4171941997013977,,,0.5,0.5,0.11787238632916922,0.1413990160593457,0.13925451661311072,0.5
ff_severity_coverage_coverage_fairness,5,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_fairness_2,5,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_severity_coverage_coverage_fairness_fairness,6,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_fairness_fairness_zone,7,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_fairness_zone,6,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_fairness_zone_2,6,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_severity_coverage_coverage_guardrail,5,1,0.5502049024222927,0.5474066532172409,0.7850352069488752,1.0,1.0,0.5773002024784712,,,0.5,0.5,0.6005931481593639,0.33939038703709834,0.44606579793793233,0.5
ff_severity_coverage_coverage_guardrail_fairness,6,1,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.46682995871970606,,,0.5,0.5,0.5948883182494207,0.30225818610236216,0.4161893122003767,0.5
ff_severity_coverage_coverage_guardrail_fairness_2,6,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_severity_coverage_coverage_guardrail_fairness_fairness,7,1,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.46676327171221765,,,0.5,0.5,0.5948604375834853,0.30225818610236216,0.4161386748642724,0.5
ff_severity_coverage_coverage_guardrail_fairness_fairness_zone,8,1,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.46676327171221765,,,0.5,0.5,0.5948604375834853,0.30225818610236216,0.4161386748642724,0.5
ff_severity_coverage_coverage_guardrail_fairness_zone,7,1,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.46682995871970606,,,0.5,0.5,0.5948883182494207,0.30225818610236216,0.4161893122003767,0.5
ff_severity_coverage_coverage_guardrail_fairness_zone_2,7,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_severity_coverage_coverage_guardrail_urban,6,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_severity_coverage_coverage_guardrail_urban_fairness,7,1,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.46682995871970606,,,0.5,0.5,0.5948883182494207,0.30225818610236216,0.4161893122003767,0.5
ff_severity_coverage_coverage_guardrail_urban_fairness_2,7,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_severity_coverage_coverage_guardrail_urban_fairness_fairness,8,1,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.46676327171221765,,,0.5,0.5,0.5948604375834853,0.30225818610236216,0.4161386748642724,0.5
ff_severity_coverage_coverage_guardrail_urban_fairness_fairness_zone,9,1,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.46676327171221765,,,0.5,0.5,0.5948604375834853,0.30225818610236216,0.4161386748642724,0.5
ff_severity_coverage_coverage_guardrail_urban_fairness_zone,8,1,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.46682995871970606,,,0.5,0.5,0.5948883182494207,0.30225818610236216,0.4161893122003767,0.5
ff_severity_coverage_coverage_guardrail_urban_fairness_zone_2,8,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_severity_coverage_coverage_guardrail_urban_zone,7,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_severity_coverage_coverage_guardrail_zone,6,1,0.5502049024222927,0.5474066532172409,0.7850352069488752,1.0,1.0,0.5773002024784712,,,0.5,0.5,0.6005931481593639,0.33939038703709834,0.44606579793793233,0.5
ff_severity_coverage_coverage_urban,5,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_severity_coverage_coverage_urban_fairness,6,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_urban_fairness_2,6,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_severity_coverage_coverage_urban_fairness_fairness,7,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_urban_fairness_fairness_zone,8,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_urban_fairness_zone,7,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_severity_coverage_coverage_urban_fairness_zone_2,7,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_severity_coverage_coverage_urban_zone,6,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_severity_coverage_coverage_zone,5,1,0.8595379836277637,0.9023771565842007,0.8939181165413694,1.0,1.0,0.4171941997013977,,,0.5,0.5,0.11787238632916922,0.1413990160593457,0.13925451661311072,0.5
ff_severity_coverage_fairness,4,1,0.7434930292809198,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442699727138,,,0.5,0.5,0.1889715205759234,0.2613281799160836,0.25528393687521084,0.5
ff_severity_coverage_fairness_2,4,1,0.716407169626449,0.8507832029028891,0.8155125450428116,1.0,1.0,0.5439045768563858,,,0.5,0.5,0.18793533713005936,0.2871535091231974,0.2807408317116645,0.5
ff_severity_coverage_fairness_3,4,1,0.8706374890169631,0.8900393438716657,0.9043733130486713,1.0,1.0,0.31908296940233716,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897026120434,0.5
ff_severity_coverage_fairness_4,4,1,0.9045385812815655,0.8903472720279935,0.9397306328287213,1.0,1.0,0.5148060336987015,,,0.5,0.5,0.13402479450466512,0.06423551655833486,0.09454449107931912,0.5
ff_severity_coverage_fairness_fairness,5,1,0.7434930161834461,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442592774364,,,0.5,0.5,0.18897182088360065,0.2613281799160836,0.2552839497079716,0.5
ff_severity_coverage_fairness_fairness_2,5,1,0.8706374884716187,0.8900393438716657,0.9043733130486713,1.0,1.0,0.3190829701240615,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897082863672,0.5
ff_severity_coverage_fairness_fairness_zone,6,1,0.7434930161834461,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442592774364,,,0.5,0.5,0.18897182088360065,0.2613281799160836,0.2552839497079716,0.5
ff_severity_coverage_fairness_fairness_zone_2,6,1,0.8706374884716187,0.8900393438716657,0.9043733130486713,1.0,1.0,0.3190829701240615,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897082863672,0.5
ff_severity_coverage_fairness_zone,5,1,0.7434930292809198,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442699727138,,,0.5,0.5,0.1889715205759234,0.2613281799160836,0.25528393687521084,0.5
ff_severity_coverage_fairness_zone_2,5,1,0.716407169626449,0.8507832029028891,0.8155125450428116,1.0,1.0,0.5439045768563858,,,0.5,0.5,0.18793533713005936,0.2871535091231974,0.2807408317116645,0.5
ff_severity_coverage_fairness_zone_3,5,1,0.8706374890169631,0.8900393438716657,0.9043733130486713,1.0,1.0,0.31908296940233716,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897026120434,0.5
ff_severity_coverage_fairness_zone_4,5,1,0.9045385812815655,0.8903472720279935,0.9397306328287213,1.0,1.0,0.5148060336987015,,,0.5,0.5,0.13402479450466512,0.06423551655833486,0.09454449107931912,0.5
ff_severity_coverage_guardrail,4,1,0.3767406959889591,0.38469907014726945,0.6661629743879387,1.0,1.0,0.6942991592500071,,,0.5,0.5,0.7302769593357823,0.4969337385507801,0.6152032625040096,0.5
ff_severity_coverage_guardrail_2,4,1,0.936832940966181,0.9685914491429305,0.9433792896095106,1.0,1.0,0.5279534571028894,,,0.5,0.5,0.046004215370313004,0.06755495668120008,0.061775602153380495,0.5
ff_severity_coverage_guardrail_fairness,5,1,0.419737909985781,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678370322736915,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523625784983,0.5
ff_severity_coverage_guardrail_fairness_2,5,1,0.3406954475584876,0.3409928888314467,0.6272060142629868,1.0,1.0,0.7408289502071098,,,0.5,0.5,0.7496954453456545,0.5457058338638681,0.6515735347057393,0.5
ff_severity_coverage_guardrail_fairness_3,5,1,0.9054269707022151,0.9602209572280446,0.912594537980788,1.0,1.0,0.32292211311535285,,,0.5,0.5,0.05336609589903877,0.10998581972309612,0.09331548683253993,0.5
ff_severity_coverage_guardrail_fairness_4,5,1,0.9364295882318914,0.9620557239661388,0.9452534029394822,1.0,1.0,0.5334878413684851,,,0.5,0.5,0.052761591723656444,0.06561538175825633,0.06208891331966454,0.5
ff_severity_coverage_guardrail_fairness_fairness,6,1,0.4197379051229853,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678369976186189,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523675509574,0.5
ff_severity_coverage_guardrail_fairness_fairness_2,6,1,0.9054359743102596,0.9602209572280446,0.912594537980788,1.0,1.0,0.32291018808553285,,,0.5,0.5,0.053356046744667165,0.10998581972309612,0.09330520020435708,0.5
ff_severity_coverage_guardrail_fairness_fairness_zone,7,1,0.4197379051229853,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678369976186189,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523675509574,0.5
ff_severity_coverage_guardrail_fairness_fairness_zone_2,7,1,0.9054359743102596,0.9602209572280446,0.912594537980788,1.0,1.0,0.32291018808553285,,,0.5,0.5,0.053356046744667165,0.10998581972309612,0.09330520020435708,0.5
ff_severity_coverage_guardrail_fairness_zone,6,1,0.419737909985781,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678370322736915,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523625784983,0.5
ff_severity_coverage_guardrail_fairness_zone_2,6,1,0.3406954475584876,0.3409928888314467,0.6272060142629868,1.0,1.0,0.7408289502071098,,,0.5,0.5,0.7496954453456545,0.5457058338638681,0.6515735347057393,0.5
ff_severity_coverage_guardrail_fairness_zone_3,6,1,0.9054269707022151,0.9602209572280446,0.912594537980788,1.0,1.0,0.32292211311535285,,,0.5,0.5,0.05336609589903877,0.10998581972309612,0.09331548683253993,0.5
ff_severity_coverage_guardrail_fairness_zone_4,6,1,0.9364295882318914,0.9620557239661388,0.9452534029394822,1.0,1.0,0.5334878413684851,,,0.5,0.5,0.052761591723656444,0.06561538175825633,0.06208891331966454,0.5
ff_severity_coverage_guardrail_urban,5,1,0.3406954475584876,0.3409928888314467,0.6272060142629868,1.0,1.0,0.7408289502071098,,,0.5,0.5,0.7496954453456545,0.5457058338638681,0.6515735347057393,0.5
ff_severity_coverage_guardrail_urban_2,5,1,0.9364295882318914,0.9620557239661388,0.9452534029394822,1.0,1.0,0.5334878413684851,,,0.5,0.5,0.052761591723656444,0.06561538175825633,0.06208891331966454,0.5
ff_severity_coverage_guardrail_urban_fairness,6,1,0.419737909985781,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678370322736915,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523625784983,0.5
ff_severity_coverage_guardrail_urban_fairness_2,6,1,0.3406954475584876,0.3409928888314467,0.6272060142629868,1.0,1.0,0.7408289502071098,,,0.5,0.5,0.7496954453456545,0.5457058338638681,0.6515735347057393,0.5
ff_severity_coverage_guardrail_urban_fairness_3,6,1,0.9054269707022151,0.9602209572280446,0.912594537980788,1.0,1.0,0.32292211311535285,,,0.5,0.5,0.05336609589903877,0.10998581972309612,0.09331548683253993,0.5
ff_severity_coverage_guardrail_urban_fairness_4,6,1,0.9364295882318914,0.9620557239661388,0.9452534029394822,1.0,1.0,0.5334878413684851,,,0.5,0.5,0.052761591723656444,0.06561538175825633,0.06208891331966454,0.5
ff_severity_coverage_guardrail_urban_fairness_fairness,7,1,0.4197379051229853,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678369976186189,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523675509574,0.5
ff_severity_coverage_guardrail_urban_fairness_fairness_2,7,1,0.9054359743102596,0.9602209572280446,0.912594537980788,1.0,1.0,0.32291018808553285,,,0.5,0.5,0.053356046744667165,0.10998581972309612,0.09330520020435708,0.5
ff_severity_coverage_guardrail_urban_fairness_fairness_zone,8,1,0.4197379051229853,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678369976186189,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523675509574,0.5
ff_severity_coverage_guardrail_urban_fairness_fairness_zone_2,8,1,0.9054359743102596,0.9602209572280446,0.912594537980788,1.0,1.0,0.32291018808553285,,,0.5,0.5,0.053356046744667165,0.10998581972309612,0.09330520020435708,0.5
ff_severity_coverage_guardrail_urban_fairness_zone,7,1,0.419737909985781,0.3595925495210251,0.7375118432434508,1.0,1.0,0.5678370322736915,,,0.5,0.5,0.7292571133088732,0.4254499672685523,0.5766523625784983,0.5
ff_severity_coverage_guardrail_urban_fairness_zone_2,7,1,0.3406954475584876,0.3409928888314467,0.6272060142629868,1.0,1.0,0.7408289502071098,,,0.5,0.5,0.7496954453456545,0.5457058338638681,0.6515735347057393,0.5
ff_severity_coverage_guardrail_urban_fairness_zone_3,7,1,0.9054269707022151,0.9602209572280446,0.912594537980788,1.0,1.0,0.32292211311535285,,,0.5,0.5,0.05336609589903877,0.10998581972309612,0.09331548683253993,0.5
ff_severity_coverage_guardrail_urban_fairness_zone_4,7,1,0.9364295882318914,0.9620557239661388,0.9452534029394822,1.0,1.0,0.5334878413684851,,,0.5,0.5,0.052761591723656444,0.06561538175825633,0.06208891331966454,0.5
ff_severity_coverage_guardrail_urban_zone,6,1,0.3406954475584876,0.3409928888314467,0.6272060142629868,1.0,1.0,0.7408289502071098,,,0.5,0.5,0.7496954453456545,0.5457058338638681,0.6515735347057393,0.5
ff_severity_coverage_guardrail_urban_zone_2,6,1,0.9364295882318914,0.9620557239661388,0.9452534029394822,1.0,1.0,0.5334878413684851,,,0.5,0.5,0.052761591723656444,0.06561538175825633,0.06208891331966454,0.5
ff_severity_coverage_guardrail_zone,5,1,0.3767406959889591,0.38469907014726945,0.6661629743879387,1.0,1.0,0.6942991592500071,,,0.5,0.5,0.7302769593357823,0.4969337385507801,0.6152032625040096,0.5
ff_severity_coverage_guardrail_zone_2,5,1,0.936832940966181,0.9685914491429305,0.9433792896095106,1.0,1.0,0.5279534571028894,,,0.5,0.5,0.046004215370313004,0.06755495668120008,0.061775602153380495,0.5
ff_severity_coverage_urban,4,1,0.716407169626449,0.8507832029028891,0.8155125450428116,1.0,1.0,0.5439045768563858,,,0.5,0.5,0.18793533713005936,0.2871535091231974,0.2807408317116645,0.5
ff_severity_coverage_urban_2,4,1,0.9045385812815655,0.8903472720279935,0.9397306328287213,1.0,1.0,0.5148060336987015,,,0.5,0.5,0.13402479450466512,0.06423551655833486,0.09454449107931912,0.5
ff_severity_coverage_urban_fairness,5,1,0.7434930292809198,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442699727138,,,0.5,0.5,0.1889715205759234,0.2613281799160836,0.25528393687521084,0.5
ff_severity_coverage_urban_fairness_2,5,1,0.716407169626449,0.8507832029028891,0.8155125450428116,1.0,1.0,0.5439045768563858,,,0.5,0.5,0.18793533713005936,0.2871535091231974,0.2807408317116645,0.5
ff_severity_coverage_urban_fairness_3,5,1,0.8706374890169631,0.8900393438716657,0.9043733130486713,1.0,1.0,0.31908296940233716,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897026120434,0.5
ff_severity_coverage_urban_fairness_4,5,1,0.9045385812815655,0.8903472720279935,0.9397306328287213,1.0,1.0,0.5148060336987015,,,0.5,0.5,0.13402479450466512,0.06423551655833486,0.09454449107931912,0.5
ff_severity_coverage_urban_fairness_fairness,6,1,0.7434930161834461,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442592774364,,,0.5,0.5,0.18897182088360065,0.2613281799160836,0.2552839497079716,0.5
ff_severity_coverage_urban_fairness_fairness_2,6,1,0.8706374884716187,0.8900393438716657,0.9043733130486713,1.0,1.0,0.3190829701240615,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897082863672,0.5
ff_severity_coverage_urban_fairness_fairness_zone,7,1,0.7434930161834461,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442592774364,,,0.5,0.5,0.18897182088360065,0.2613281799160836,0.2552839497079716,0.5
ff_severity_coverage_urban_fairness_fairness_zone_2,7,1,0.8706374884716187,0.8900393438716657,0.9043733130486713,1.0,1.0,0.3190829701240615,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897082863672,0.5
ff_severity_coverage_urban_fairness_zone,6,1,0.7434930292809198,0.8477041105546737,0.8408614082119931,1.0,1.0,0.3924442699727138,,,0.5,0.5,0.1889715205759234,0.2613281799160836,0.25528393687521084,0.5
ff_severity_coverage_urban_fairness_zone_2,6,1,0.716407169626449,0.8507832029028891,0.8155125450428116,1.0,1.0,0.5439045768563858,,,0.5,0.5,0.18793533713005936,0.2871535091231974,0.2807408317116645,0.5
ff_severity_coverage_urban_fairness_zone_3,6,1,0.8706374890169631,0.8900393438716657,0.9043733130486713,1.0,1.0,0.31908296940233716,,,0.5,0.5,0.14506243785461695,0.12333978012549687,0.12864897026120434,0.5
ff_severity_coverage_urban_fairness_zone_4,6,1,0.9045385812815655,0.8903472720279935,0.9397306328287213,1.0,1.0,0.5148060336987015,,,0.5,0.5,0.13402479450466512,0.06423551655833486,0.09454449107931912,0.5
ff_severity_coverage_urban_zone,5,1,0.716407169626449,0.8507832029028891,0.8155125450428116,1.0,1.0,0.5439045768563858,,,0.5,0.5,0.18793533713005936,0.2871535091231974,0.2807408317116645,0.5
ff_severity_coverage_urban_zone_2,5,1,0.9045385812815655,0.8903472720279935,0.9397306328287213,1.0,1.0,0.5148060336987015,,,0.5,0.5,0.13402479450466512,0.06423551655833486,0.09454449107931912,0.5
ff_severity_coverage_zone,4,1,0.8091259959422281,0.9296842908544954,0.8625849937435212,1.0,1.0,0.42443918024096033,,,0.5,0.5,0.09977207945043241,0.20623460283391792,0.18844669523297808,0.5
ff_severity_coverage_zone_2,4,1,0.9183936047466553,0.9254502445661413,0.9323932714528358,1.0,1.0,0.4932664489181492,,,0.5,0.5,0.09344501208839255,0.07152193744941211,0.08070177845969255,0.5
ff_severity_fairness,3,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_fairness_2,3,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_fairness_fairness,4,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
ff_severity_fairness_fairness_zone,5,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
ff_severity_fairness_zone,4,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_fairness_zone_2,4,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_guardrail,3,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_guardrail_fairness,4,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_guardrail_fairness_2,4,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_guardrail_fairness_fairness,5,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
ff_severity_guardrail_fairness_fairness_zone,6,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
ff_severity_guardrail_fairness_zone,5,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_guardrail_fairness_zone_2,5,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_guardrail_urban,4,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_guardrail_urban_fairness,5,1,0.9143930193931037,0.9823833404307333,0.9173417514335651,1.0,1.0,0.32317218680541077,,,0.5,0.5,0.026962093836791993,0.10197390928129393,0.08413380511794362,0.5
ff_severity_guardrail_urban_fairness_2,5,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_severity_guardrail_urban_fairness_fairness,6,1,0.9136832180772385,0.9839455527053875,0.9179320242375069,1.0,1.0,0.32414198248787063,,,0.5,0.5,0.027397076324427335,0.10884821351781378,0.08451317355528297,0.5
